Product_link,Photo_url,Description,Unique_product_id,Price,Product_score,review_bold,ratings,review,verified,date,by,helpful,FINAL_SCORE
https://www.amazon.co.uk/Earphones-In-ear-Black-Red-White/dp/B07166Q2LS/ref=cm_cr_srp_d_product_top?ie=UTF8,https://m.media-amazon.com/images/I/615SYkkPyDL._AC_SL1500_.jpg,"Superior Sound Quality: Enjoy crystal clear audio with deep bass and crisp highs. These earphones are engineered to deliver an immersive sound experience, making your music, podcasts, and calls sound better than ever.
Comfortable Fit: Ergonomically designed for maximum comfort, these earphones come with multiple sizes of ear tips to ensure a secure and comfortable fit for all ear sizes. The lightweight design ensures they can be worn for extended periods without discomfort.
Durable and Stylish: Made with high-quality materials, these earphones are built to last. The tangle-free cable and sturdy construction ensure durability, while the sleek design adds a touch of style to your look.
In-line Microphone and Controls: Convenient in-line controls allow you to manage your music and calls with ease. The built-in microphone ensures clear voice transmission, making it easy to take calls on the go.
Universal Compatibility: These earphones are compatible with a wide range of devices, including smartphones, tablets, laptops, and more. The standard 3.5mm jack ensures easy connectivity to any device with a headphone port.",0,49.99,65,I rarely use them but..,5,"These headphones are pretty damn good for the money! Its just as good--if not--better than most of the competitors producing in-ear headphones that cost more than 5-10x as much. There's no reason to spend Â£100-100+ on some in-ear headphones when you can simply pick these up at less than a fraction of the cost. I would highly recommend these to anyone considering them. The clarity is consistent and the bass is AMPLE. Your music will sound full and dynamic making a pleasurable experience for any sound played through them. Not to mention, the quality is durable and they will last for months. I'd give this a 6 Star rating if possible.",0,25/04/17,Sandra Morgan,39,63
https://www.amazon.co.uk/XuDirect-In-Ear-Earphones-Black-Green/dp/B07166Q1VW/ref=cm_cr_srp_d_product_top?ie=UTF8,https://m.media-amazon.com/images/I/618zves-P8L._AC_SL1500_.jpg,"Product Description:

Introducing the XuDirect In-Ear Earphones in a striking Black and Green color combination. These earphones promise an unparalleled audio experience with features and quality that seem too good to be true.

Key Features:

Enjoy clear sound with our wired earphones. They're compact but deliver decent audio with some bass and clear highs. The durable wire ensures a stable connection to your devices. Featuring a sleek design and easy-to-use controls, they're suitable for music, podcasts, and more, both at home and on the go.",1,49.99,74,Earbuds that give you great sound for a small price!,5,"These earbuds will change the way you look at the this brand brand. I've always thought most of the stuff this brand made was kind of cheap and looking at these earbuds and their price it was hard not to think the same about them as well. But, even being a really big skeptic of them even after reading review after review on these earbuds of how amazing they were I ordered a pair to make own decision about how good they actually were. After getting them I quickly followed the advice of one of the reviews I had read and found the right size ear pads that go over the earbuds to make sure I had the best fit possible with them. After listening to them for a week straight 7-8hrs. a day and with different kinds of music rock, r&b, trance, etc... to make sure they were getting a full rounded break in period they became music to my ears! The lows, mids, and highs were exactly what I was looking for so long in some earbuds! I couldn't believe my ears! These earbuds really did deliver! I've tried Audio Technica's earbuds with some people claiming they sounded as good as the ATH-M50x's (which is a pretty big claim) only to find out that the reviewer was wrong they weren't even close to how good the ATH-M50x's sounded. They lacked bass and the highs were ear piercing! With the this brand's it was all there and well balanced and they get better and better the more I use them. If you're looking for a good pair of earbuds don't pass these up. You can't beat what you get for what a small price you pay for these earbuds.",0,25/04/17,Ryan Gibson,35,63
https://www.amazon.co.uk/XuDirect-In-Ear-Earphones-Black-Green/dp/B07166Q1VW/ref=cm_cr_srp_d_product_top?ie=UTF8,https://m.media-amazon.com/images/I/618zves-P8L._AC_SL1500_.jpg,"Product Description:

Introducing the XuDirect In-Ear Earphones in a striking Black and Green color combination. These earphones promise an unparalleled audio experience with features and quality that seem too good to be true.

Key Features:

Enjoy clear sound with our wired earphones. They're compact but deliver decent audio with some bass and clear highs. The durable wire ensures a stable connection to your devices. Featuring a sleek design and easy-to-use controls, they're suitable for music, podcasts, and more, both at home and on the go.",1,49.99,74,"Comfortable, Amazing Sound, Noise Dampening",5,"These are, hands down, the best pair of in-ear headphones I've ever owned. Luckily, I read some of the reviews on here, so that I could realize the first fact I stated. You must use the rubber ear inserts that fit snugly in your ear. You'll get plenty of fine, clear tones in all the right range if you're wearing them properly.The sound is clear, rich and true, NOT scratchy or squeaky like many cheaper in-ear headphones. I'll leave these in a pocket or something and have my JVC earphones nearby, and they don't even compare to these. I immediately look for these headphones if I want to listen to something clearly. Furthermore, they block out sound almost as well as earplugs with how they fit on myself.Lastly, it seems to me that they are ergonomically designed to fit in the ear better. First: the rubber on the ear-insert is very pliable/soft. Second: the rubber ear-inserts take on a tilted oval shape because of the shape of the earphone speakers themselves. This makes them very comfortable to wear, even with the largest rubber ear-insert size (it comes with 3 sizes of rubber inserts/covers) that makes the best seal. Many, cheaper, in ear headphones are uncomfortable to wear and make your ears sore, but you can wear these all day without something stretching out your ear.",0,27/04/17,Suzanne Ruiz,32,64
https://www.amazon.co.uk/XuDirect-In-Ear-Earphones-Black-Green/dp/B07166Q1VW/ref=cm_cr_srp_d_product_top?ie=UTF8,https://m.media-amazon.com/images/I/618zves-P8L._AC_SL1500_.jpg,"Product Description:

Introducing the XuDirect In-Ear Earphones in a striking Black and Green color combination. These earphones promise an unparalleled audio experience with features and quality that seem too good to be true.

Key Features:

Enjoy clear sound with our wired earphones. They're compact but deliver decent audio with some bass and clear highs. The durable wire ensures a stable connection to your devices. Featuring a sleek design and easy-to-use controls, they're suitable for music, podcasts, and more, both at home and on the go.",1,49.99,74,"AMAZING, especially when you consider the price!!!",5,"What can I say about these ear buds?#1 They go into the ear canal, and I have no idea if they have noise reduction... but I can't hear anything or anyone else when I'm at the gym listening to music. This is GREAT.#2 Base is deep and quite excellent.#3 Clear sound I haven't had any crackling yet.#4 I'm 6'2 and my only issue with these is that the cord is SLIGHTLY, and when I say slightly I really mean slightly too short for me. Maybe an inch or so too short. I don't mean they don't reach my head, I just have a preference for some leeway when I put them in my ears. And this feels a lil snugger on the cord than I'm used too. (Not an issue with the product just a preference)#5 Did I mention the price???? Â£10??? REALLY??????? Jesus these are amazing when you factor this in. I'm considering getting 2 more pairs to keep around at home and in my car for whenever, just because they're so affordable and I get sad when I don't have them on me, but would love to listen to some music.Conclusion;There's a reason why these bad boys are at 4.5 star and reviewed by over 1+k people. They are that good for the price and you would be a fool not to get a pair of these just to have for whenever/whatever. Leave em in your car!!! I grantee you will thank me when you need a pair of ear-buds, but you left your favorite pair at home without thinking. Then, a few seconds into your despair ... ""Oh, that's right!!!! I have a backup pair in my car!!! Thanks random amazon dude!"" So, you're welcome ahead of time!",0,26/04/17,Jennifer Cooper,32,64
https://www.amazon.co.uk/XuDirect-In-Ear-Earphones-Black-Green/dp/B07166Q1VW/ref=cm_cr_srp_d_product_top?ie=UTF8,https://m.media-amazon.com/images/I/618zves-P8L._AC_SL1500_.jpg,"Product Description:

Introducing the XuDirect In-Ear Earphones in a striking Black and Green color combination. These earphones promise an unparalleled audio experience with features and quality that seem too good to be true.

Key Features:

Enjoy clear sound with our wired earphones. They're compact but deliver decent audio with some bass and clear highs. The durable wire ensures a stable connection to your devices. Featuring a sleek design and easy-to-use controls, they're suitable for music, podcasts, and more, both at home and on the go.",1,49.99,74,Cannot recommend these headphones enough.,5,"These things are incredible for the price. I've used earbuds regularly for over a months while exercising, while working in landscaping/farming, and presently as an attorney. The different types of work affect sound quality, given the types of ambient noise one experiences, the jostling of the headphones from movement, etc. In addition, I only buy headphones that are no more than Â£100, preferably less than Â£10, because I have a tendency to lose and/or destroy them. These are, hands down, the best pair I've ever had, even better than the Â£100 Beats I used to buy. The fit is perfect, they do not jostle around in your ear, and because the fit is so snug (without being annoying), they eliminate ambient noise extremely well. For example, on a plane you barely notice the engine sound (relative to any other headphones I've owned).And the sound quality is the best I've ever experienced by long shot for a pair of earbuds. The bass is deep and full, mids are actually pronounced, and the treble is not piercing like it is frequently in earbuds. The clarity for something like jazz is not perfect if your an audiophile, but still better than anything else at this price point, or at numerous price points above it.NOTE: In order to maximize sound quality, you have to use the rubber piece that fits snugly into your ear. You also HAVE to wear the R headphone in your right ear and the L headphone in you left ear. I guarantee the reviewers complaining about the lack of bass are not wearing them correctly. When you do, the sound is nothing short of astonishing for pair of budget earbuds.",0,25/04/17,Jon Graham,33,64
https://www.amazon.co.uk/XuDirect-In-Ear-Earphones-Black-Green/dp/B07166Q1VW/ref=cm_cr_srp_d_product_top?ie=UTF8,https://m.media-amazon.com/images/I/618zves-P8L._AC_SL1500_.jpg,"Product Description:

Introducing the XuDirect In-Ear Earphones in a striking Black and Green color combination. These earphones promise an unparalleled audio experience with features and quality that seem too good to be true.

Key Features:

Enjoy clear sound with our wired earphones. They're compact but deliver decent audio with some bass and clear highs. The durable wire ensures a stable connection to your devices. Featuring a sleek design and easy-to-use controls, they're suitable for music, podcasts, and more, both at home and on the go.",1,49.99,74,"Great Sound and Good Enough Fit, see my comparisons",5,"Very good sounding, tied for favorite, see comparisons below to other earbuds. You must pay attention and use the right tip for your ear, as this design does not go deep in ear and thus needs the right rubber tip to get good sound isolation.I compared the ergo-Fit on cell phone and laptop outputs, 6 different songs and the with other earbuds listed below:this brand Ergo-Fit ~Â£10.These are one of my two favorites due to better fit than HAFX1X and almost as good of sound, slightly better sound than Ink'd but not as good of fit -Bass-Excellent, not too boomy -Mid, Good -Highs, Good, not too much (like Ink'ed) -Comfort, Good, a little bit noticeable, but you can wear for many hours. Noise Isolation fit is good, you need experiment with tips to get it right as these leave no margin for error as they do not go deep into ear canal. However they tend to stay in place.SKULLCANDY Ink'd - Â£11 Ok, no distortion, sometimes short on bass, good for vocals -Bass, good, but a little weak, if positioned well in ear bass can be good -Mid, Excellent, very clear vocals -Highs, Good, perhaps a little too much volume highs -Fit, Very comfortable and best at noise isolation, fitting deep in ear canal, making them my favorite along with the JVC HAFX1X Â£25 - Beautiful sounds, well balanced, nice bass -Bass, OK, the best you'll ever experience in earbuds, almost too much. -Mid, Good, very clear vocals, despite a very rich bass -High, Excellent -Fit, I find it difficult to get them just deep enough to get good noise isolation, using the medium tips. But this made them to be uncomfortable and they WORK THEMSELVES LOOSE (from tight noise isolation fit). In general not uncomfortable, but very noticeable in ear due to large sizeMEELECTRONICS M6 - 18Â£ Very good,clear sound, no distortion, well balanced -Bass, Excellent, rich and natural sound, almost booming -Mid, Excellent, very clear vocals -Highs, Good, clear no distortion -Fit, Only seam to get good noise isolation fit with long triple flanged tip, but these are not comfortable to wear more than an hour or two.PHILIPS SHE6000/28 ~Â£14 -Balanced high, mid, and low ranges -Fit, comfortable since they don't go into ear much, 4 different size tips. Don't fit tight in ear, as not designed to go deep enough. Thus little noise isolation, and not suited to noisy environment. None-the-less, even though the do NOT seal-in the sound via tight fit, they seem to have good frequency balance. Also, not good to use for activities, as they easy to fall out. -Nice carry caseSONY MDR-EX300SL - 25Â£, Horrible, booming bass, distorted -Bass, Ok, booming, too much -Mid, horrible, distorted vocals -Highs, Bad, not present, no highs at all",0,26/04/17,Gerald Andrews,31,64
https://www.amazon.co.uk/XuDirect-In-Ear-Earphones-Black-Green/dp/B07166Q1VW/ref=cm_cr_srp_d_product_top?ie=UTF8,https://m.media-amazon.com/images/I/618zves-P8L._AC_SL1500_.jpg,"Product Description:

Introducing the XuDirect In-Ear Earphones in a striking Black and Green color combination. These earphones promise an unparalleled audio experience with features and quality that seem too good to be true.

Key Features:

Enjoy clear sound with our wired earphones. They're compact but deliver decent audio with some bass and clear highs. The durable wire ensures a stable connection to your devices. Featuring a sleek design and easy-to-use controls, they're suitable for music, podcasts, and more, both at home and on the go.",1,49.99,74,Some of the best Earphones I have ever had.,5,"When you look at them, the design may appear to be uncomfortable given its odd shape, however, this shape causes the ear buds to more snuggly fit into your ears. They produce good, clear sound quality and have a decent length.Now, I am not good at taking care of my things, I tend to break things, a lot. All my previous earphones have broken within one-to-two months, especially since I buy the cheap, 5-to-10 pound ones, however, the pair of these I bought has lasted me now around a months and have no sign of wear-and-tear.The only problem I can think of with these is that the ear pads tend to be a little unsecured. This means that they will sometimes fall off when you do not have them in your ear, this is not a common occurance, but it does happen sometimes. This personally wasn't a problem because I usually find the ear pads in my pocket, and even when I did not, which was once, I simply used the excess ear pads the earphones came with.All-in-all, this is a superb pair of earphones, they are light-weight, sturdy, have god audio quality, and are overall some of the best I have ever had.Final Score: 5/5",0,27/04/17,Alex Anderson,31,64
https://www.amazon.co.uk/XuDirect-In-Ear-Earphones-Black-Green/dp/B07166Q1VW/ref=cm_cr_srp_d_product_top?ie=UTF8,https://m.media-amazon.com/images/I/618zves-P8L._AC_SL1500_.jpg,"Product Description:

Introducing the XuDirect In-Ear Earphones in a striking Black and Green color combination. These earphones promise an unparalleled audio experience with features and quality that seem too good to be true.

Key Features:

Enjoy clear sound with our wired earphones. They're compact but deliver decent audio with some bass and clear highs. The durable wire ensures a stable connection to your devices. Featuring a sleek design and easy-to-use controls, they're suitable for music, podcasts, and more, both at home and on the go.",1,49.99,74,"Good, cheap, and durable -- that sums it up nicely.",5,"These earbuds are very good and when used properly, i.e., fit *snugly* into the ears, have good-to-excellent bass response -- something I know a little about, as I've played bass guitar for months and I reflexively listen to the low end first whenever I hear a new song. On sound alone, I would give them a four-star rather than a five-star rating, as they are the slightest bit muddy in the mid-range compared to really good headphones. And I'm being picky, I know.However, what pushes my review to the five-star level is durability: I am extremely hard on earbuds, listening to my mp3 player while doing carpentry, gardening, hiking through brush, working in the kitchen, etc. and I cannot tell you how many times I've caught the cord on something and yanked the 'buds out of my ears or the jack out of its socket and yet I've had only one failed set of these earbuds after over a months(!) of daily use. I have stepped on one or the other of the buds at least three times, cracked the 'bud cases twice and after an application of super-glue, they worked as if nothing had ever happened. Alas, after all of this brutal treatment, the left 'bud stopped producing sound, so I finally had to pull my unopened, three-month-old backup set out of my sock drawer.Just lucky with the one pair of 'buds? I don't think so -- I have the same brand and model earbuds on my secondary mp3 player which I've used nearly as much under harsh conditions for over two months and they're still performing great. I'm a frugal (read ""cheap"") and active guy who hates buying expensive earbuds, only to have to replace them within three to a months. (If it were illegal, I would have been convicted of bud-abuse months ago.)So here you have these this brand earbuds that are comfortable, affordable, sound good, and are very durable. What more could a person ask for in a set of earbuds for daily use?",0,25/04/17,Ramon Hayes,32,39
https://www.amazon.co.uk/XuDirect-In-Ear-Earphones-Black-Green/dp/B07166Q1VW/ref=cm_cr_srp_d_product_top?ie=UTF8,https://m.media-amazon.com/images/I/618zves-P8L._AC_SL1500_.jpg,"Product Description:

Introducing the XuDirect In-Ear Earphones in a striking Black and Green color combination. These earphones promise an unparalleled audio experience with features and quality that seem too good to be true.

Key Features:

Enjoy clear sound with our wired earphones. They're compact but deliver decent audio with some bass and clear highs. The durable wire ensures a stable connection to your devices. Featuring a sleek design and easy-to-use controls, they're suitable for music, podcasts, and more, both at home and on the go.",1,49.99,74,Mind-blowing sound for the price,5,"To say I'm blown away is putting it mildly. Now, maybe this means I've just had rotten luck 'til now, but prior to this set, every budget pair of earbuds I've tried, (Â£10-15 range), has left me frustrated and sorely disappointed: I've gotten thin and tinny sound with no bass, or muddy sound with no trebble AND no bass... Often barely a step up from the free set on the airplane. I've spent 4 times the cost of these on a skullcandy pair that proved entirely unlistenable. I'd nearly abandoned hope of a worry-free set I could batter in my usual merciless way and still ENJOY listening to. And then, I gave it just one more try...Now, they don't exactly look expensive, and I'll never claim these sound just like my beloved Klipsch or Audiofly earbuds: anyone expecting that from six pound earbuds needs a quick reality check. BUT, I'm also not about to shove those Klipsch and Audiofly investments into a jacket pocket every time I'm racing out the door, (dropping them repeatedly), or leave them on during naps, or say, have them anywhere in view when my audiophile cat is in the mood to examine the wires with her teeth. What the this brand does is offer sound that's crisp and dynamic enough to be properly enjoyed, with a pretty comfortable design, and at a price so affordable -- and so far below anything remotely comparable -- that the cat can have her own set if she wants it.It's just plain impressive.",0,25/04/17,Jason Roberts,32,64
https://www.amazon.co.uk/XuDirect-In-Ear-Earphones-Black-Green/dp/B07166Q1VW/ref=cm_cr_srp_d_product_top?ie=UTF8,https://m.media-amazon.com/images/I/618zves-P8L._AC_SL1500_.jpg,"Product Description:

Introducing the XuDirect In-Ear Earphones in a striking Black and Green color combination. These earphones promise an unparalleled audio experience with features and quality that seem too good to be true.

Key Features:

Enjoy clear sound with our wired earphones. They're compact but deliver decent audio with some bass and clear highs. The durable wire ensures a stable connection to your devices. Featuring a sleek design and easy-to-use controls, they're suitable for music, podcasts, and more, both at home and on the go.",1,49.99,74,"29,051 Reviewers and One Lithuanian Could Not Be Wrong",5,"Why bother to write a review about this products? Because I did not experience any of the primary negatives:1. Poor quality sound: I did not find this to be true. The sound quality and volume varies according to the device they are plugged into due to variations in the impedance of the device.These are 16 ohm impedance earbuds designed for portable devices that do not have a lot of power. If under- or over-powered the quantity and quality of the sound will suffer. I plugged them into my laptop and listened via VLC: no issues; into my custom PC with Logitech 5-1 sound system: no issues; into my Moto: no issues; into my Fire HD and Fire 7: no issues. As far as my ear is able to tell, the advertised frequency response of 20-20kHz is as claimed.2. There was one review that said these buds did not work with a cellphone case. Apparently the reviewer does not realize that, on the black market, one can purchase special cases that will permit these buds to work. The secret is to buy a case that is designed for your phone so that it permits access to all of the ports and camera lenses.3. Poor quality: these appear to me to be of a better quality that the 3-pair for Â£10 earbuds that I have been using for the past a months so I anticipate they will last at least as long. But, I just bought these so I cannot say.4. Uncomfortable: this I really do not understand, especially ""after 5 minutes."" These earbuds come with three earpieces: 1.3cm, 1.15cm, and 1.0cm by my measurements. I chose the earpieces that give me a firm enough fit that they do not fall out. Over the past hour or so, I have been wearing these and have no issues. I suppose if one employs the largest earpieces and jams them in as far as the tympanic membrane, they might prove uncomfortable.For me, these are great: good sound, good comfort, good price. Oh, and BTW, I am the Lithuanian.Ed",0,25/04/17,Anna Hayes,30,89
