,authenticity_score
0,0.0002964188
1,0.00027466042
2,0.00028816322
3,0.00025996502
4,0.00026141928
5,0.0017051583
6,0.00062111596
7,0.00064955984
8,0.00040855008
9,0.00027994742
10,0.0045885704
11,0.00049860333
12,0.00026899605
13,0.5994078
14,0.034959506
15,0.0011405699
16,0.3933655
17,0.00025636278
18,0.00036778813
19,0.00031397722
20,0.00029817555
21,0.0002709605
22,0.00040832892
23,0.7894843
24,0.00026296242
25,0.0003203963
26,0.0003912445
27,0.0036035741
28,0.00028379622
29,0.00026256606
30,0.0002796614
31,0.0002571133
32,0.00025564324
33,0.00043651764
34,0.0002707142
35,0.00027420124
36,0.00025746902
37,0.00028693886
38,0.00026107478
39,0.00037088586
40,0.00029094925
41,0.00026587513
42,0.0002683229
43,0.0006831315
44,0.0002591832
45,0.0002659834
46,0.00025420124
47,0.00026389697
48,0.00028308688
49,0.00030212422
50,0.00026252298
51,0.0002789922
52,0.000262535
53,0.00031213547
54,0.0002854695
55,0.00027600472
56,0.0002901805
57,0.0002869167
58,0.00067651755
59,0.0002752833
60,0.0002560921
61,0.0003064455
62,0.000259666
63,0.00042615284
64,0.0003033159
65,0.00064431044
66,0.0002860498
67,0.0002763135
68,0.00025392073
69,0.000324745
70,0.00028494684
71,0.00025363738
72,0.0002553833
73,0.00029350125
74,0.00038363048
75,0.0002527064
76,0.000265047
77,0.0008694503
78,0.0002579754
79,0.14891648
80,0.00025843922
81,0.00031527784
82,0.79180866
83,0.0003514056
84,0.00027526545
85,0.9987637
86,0.0002554503
87,0.0002773886
88,0.00032672627
89,0.00048496164
90,0.0005124696
91,0.0017622461
92,0.00026496287
93,0.001174622
94,0.0002534288
95,0.0009625794
96,0.00025777455
97,0.012880191
98,0.0012760983
99,0.0002715388
100,0.0031631226
101,0.38638842
102,0.9828152
103,0.00025466506
104,0.00033100048
105,0.000261282
106,0.0002592047
107,0.00030630003
108,0.0002960567
109,0.00027302315
110,0.00026532894
111,0.028994067
112,0.00025772076
113,0.014126551
114,0.0003048623
115,0.00026113054
116,0.97524583
117,0.0010309955
118,0.0002791359
119,0.00031170365
120,0.00027791143
121,0.00026279897
122,0.00027757912
123,0.00026789244
124,0.00036266685
125,0.00033744238
126,0.00030458978
127,0.0002633259
128,0.00034451438
129,0.00025710053
130,0.00027909063
131,0.00026399485
132,0.00026700305
133,0.9992606
134,0.00025364052
135,0.00026046246
136,0.00027376082
137,0.00026105787
138,0.0007690559
139,0.00030327454
140,0.0002718906
141,0.00025778462
142,0.00026766572
143,0.00026352057
144,0.0112489825
145,0.9953961
146,0.9984478
147,0.005006226
148,0.00026569347
149,0.00026376918
150,0.0002753387
151,0.000267727
152,0.00036117248
153,0.944239
154,0.944239
155,0.944239
156,0.00027437435
157,0.00038209645
158,0.0019748735
159,0.00037413018
160,0.00025896708
161,0.0006150552
162,0.00072444114
163,0.00038669092
164,0.0004732174
165,0.000643627
166,0.9981597
167,0.00026556608
168,0.0002795388
169,0.00025404085
170,0.0002939849
171,0.0003685276
172,0.0003032315
173,0.0003718587
174,0.00025567788
175,0.00034287368
176,0.039021123
177,0.0002685901
178,0.00025543154
179,0.00036564367
180,0.00037792858
181,0.00025726508
182,0.0003748333
183,0.00034002555
184,0.0059399065
185,0.0002715103
186,0.00025334882
187,0.00026531654
188,0.00027667545
189,0.00025727073
190,0.00044934242
191,0.00026835516
192,0.00032073128
193,0.0002647977
194,0.0003024294
195,0.0003245265
196,0.00025153236
197,0.00026119154
198,0.0002632486
199,0.00027068064
200,0.00026828452
201,0.9989968
202,0.00028580855
203,0.00025972794
204,0.12582608
205,0.00025265146
206,0.003509328
207,0.00026054168
208,0.00057979545
209,0.99689853
210,0.0002551657
211,0.00027641183
212,0.00026267473
213,0.00057391415
214,0.20122585
215,0.00025333939
216,0.0002788483
217,0.0002560921
218,0.00026037951
219,0.0004078551
220,0.00025551312
221,0.00025402487
222,0.00025793584
223,0.00027566912
224,0.00027353517
225,0.0002539442
226,0.00033087464
227,0.00026504096
228,0.00033444373
229,0.000258797
230,0.00025004797
231,0.0002974047
232,0.00040573062
233,0.00031527784
234,0.00025384955
235,0.00025814792
236,0.0031900788
237,0.00026594487
238,0.00033767085
239,0.00031453813
240,0.00027943542
241,0.00027937177
242,0.00028030822
243,0.00029559672
244,0.0003020594
245,0.0003112223
246,0.00025956973
247,0.00026731633
248,0.001953855
249,0.000265901
250,0.00027277804
251,0.000314091
252,0.00027113289
253,0.00036230413
254,0.00037806798
255,0.00028534923
256,0.0002712345
257,0.0003032786
258,0.0002773471
259,0.00027892942
260,0.00029072736
261,0.0002670924
262,0.00026867285
263,0.00030402959
264,0.0002794453
265,0.0006722269
266,0.00029304996
267,0.0002760105
268,0.00027795916
269,0.00027721995
270,0.00028786145
271,0.00025724646
272,0.00026110964
